
                    ************************************************
                    *                Model: CRAFLUSH               *
                    *           Parallel Crack Model D > 0         *
                    *            (C) E.A. Sudicky, 1988            *
                    *   Waterloo Centre for Groundwater Research   *
                    *            University of Waterloo            *
                    *       Waterloo, Ontario, CANADA N2L 3G1      *
                    ************************************************


  Source concentration at infinite time=     1.0000
  Initial concentration in matrix and fractures=     0.0000
  Velocity in fracture=  8.68056E-06
  Fracture dispersivity=      0.000
  Fracture aperture=  1.2000E-04
  Fracture spacing=      0.100
  Matrix porosity=      0.350
  Matrix tortuosity=      1.000
  Diff. coeff. in water=  1.0000E-12
  Fracture retardation factor=      1.000
  Matrix retardation factor=      1.000
  Non-decaying solute


  Numerical inversion parameters used in CRUMP

  ALPHR=  0.000
  RELERR=  1.0000E-06
  N=  15


  Variable source concentration

     Time       Concentration
  0.000            1.00000


    Time      Distance: along Fracture,  in Matrix     C(t)     Steady C
 2.5920E+05                      0.320       0.000  0.74709      1.00000
 2.5920E+05                      0.360       0.000  0.71391      1.00000
 2.5920E+05                      0.400       0.000  0.68055      1.00000
 2.5920E+05                      0.440       0.000  0.64705      1.00000
 2.5920E+05                      0.480       0.000  0.61349      1.00000
 2.5920E+05                      0.520       0.000  0.57993      1.00000
 2.5920E+05                      0.560       0.000  0.54646      1.00000
 2.5920E+05                      0.600       0.000  0.51315      1.00000
 2.5920E+05                      0.640       0.000  0.48010      1.00000
 2.5920E+05                      0.680       0.000  0.44739      1.00000
 2.5920E+05                      0.720       0.000  0.41512      1.00000
 2.5920E+05                      0.760       0.000  0.38339      1.00000
 2.5920E+05                      0.800       0.000  0.35232      1.00000
 3.0240E+05                      0.010       0.000  0.99309      1.00000
 3.0240E+05                      0.040       0.000  0.97222      1.00000
 3.0240E+05                      0.080       0.000  0.94403      1.00000
 3.0240E+05                      0.120       0.000  0.91547      1.00000
 3.0240E+05                      0.160       0.000  0.88655      1.00000
 3.0240E+05                      0.200       0.000  0.85731      1.00000
 3.0240E+05                      0.240       0.000  0.82777      1.00000
 3.0240E+05                      0.280       0.000  0.79796      1.00000
 3.0240E+05                      0.320       0.000  0.76793      1.00000
 3.0240E+05                      0.360       0.000  0.73771      1.00000
 3.0240E+05                      0.400       0.000  0.70735      1.00000
 3.0240E+05                      0.440       0.000  0.67688      1.00000
 3.0240E+05                      0.480       0.000  0.64635      1.00000
 3.0240E+05                      0.520       0.000  0.61583      1.00000
 3.0240E+05                      0.560       0.000  0.58536      1.00000
 3.0240E+05                      0.600       0.000  0.55500      1.00000
 3.0240E+05                      0.640       0.000  0.52481      1.00000
 3.0240E+05                      0.680       0.000  0.49485      1.00000
