
                    ************************************************
                    *                Model: CRAFLUSH               *
                    *           Parallel Crack Model D > 0         *
                    *            (C) E.A. Sudicky, 1988            *
                    *   Waterloo Centre for Groundwater Research   *
                    *            University of Waterloo            *
                    *       Waterloo, Ontario, CANADA N2L 3G1      *
                    ************************************************


  Source concentration at infinite time=     1.0000
  Initial concentration in matrix and fractures=     0.0000
  Velocity in fracture=  8.68056E-06
  Fracture dispersivity=      0.760
  Fracture aperture=  1.2000E-04
  Fracture spacing=      0.100
  Matrix porosity=      0.350
  Matrix tortuosity=      1.000
  Diff. coeff. in water=  1.0000E-10
  Fracture retardation factor=      1.000
  Matrix retardation factor=      1.000
  Non-decaying solute


  Numerical inversion parameters used in CRUMP

  ALPHR=  0.000
  RELERR=  1.0000E-06
  N=  15


  Variable source concentration

     Time       Concentration
  0.000            1.00000


    Time      Distance: along Fracture,  in Matrix     C(t)     Steady C
 1.0800E+05                      0.640       0.000  0.05622      1.00000
 1.0800E+05                      0.680       0.000  0.04551      1.00000
 1.0800E+05                      0.720       0.000  0.03672      1.00000
 1.0800E+05                      0.760       0.000  0.02953      1.00000
 1.0800E+05                      0.800       0.000  0.02368      1.00000
 1.2960E+05                      0.010       0.000  0.96580      1.00000
 1.2960E+05                      0.040       0.000  0.86866      1.00000
 1.2960E+05                      0.080       0.000  0.75138      1.00000
 1.2960E+05                      0.120       0.000  0.64728      1.00000
 1.2960E+05                      0.160       0.000  0.55537      1.00000
 1.2960E+05                      0.200       0.000  0.47467      1.00000
 1.2960E+05                      0.240       0.000  0.40415      1.00000
 1.2960E+05                      0.280       0.000  0.34284      1.00000
 1.2960E+05                      0.320       0.000  0.28977      1.00000
 1.2960E+05                      0.360       0.000  0.24406      1.00000
 1.2960E+05                      0.400       0.000  0.20484      1.00000
 1.2960E+05                      0.440       0.000  0.17135      1.00000
 1.2960E+05                      0.480       0.000  0.14285      1.00000
 1.2960E+05                      0.520       0.000  0.11871      1.00000
 1.2960E+05                      0.560       0.000  0.09833      1.00000
 1.2960E+05                      0.600       0.000  0.08119      1.00000
 1.2960E+05                      0.640       0.000  0.06683      1.00000
 1.2960E+05                      0.680       0.000  0.05485      1.00000
 1.2960E+05                      0.720       0.000  0.04488      1.00000
 1.2960E+05                      0.760       0.000  0.03661      1.00000
 1.2960E+05                      0.800       0.000  0.02978      1.00000
 1.5120E+05                      0.010       0.000  0.96731      1.00000
 1.5120E+05                      0.040       0.000  0.87420      1.00000
 1.5120E+05                      0.080       0.000  0.76126      1.00000
 1.5120E+05                      0.120       0.000  0.66042      1.00000
 1.5120E+05                      0.160       0.000  0.57083      1.00000
 1.5120E+05                      0.200       0.000  0.49163      1.00000
 1.5120E+05                      0.240       0.000  0.42194      1.00000
